날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2020-05-12 03,서울 중구,중구,111121,.002,.3,.021,.016,25,8
2020-05-12 04,서울 중구,중구,111121,.002,.3,.018,.018,24,9
2020-05-12 05,서울 중구,중구,111121,.002,.4,.017,.021,26,9
2020-05-12 06,서울 중구,중구,111121,.002,.4,.015,.023,42,13
2020-05-12 07,서울 중구,중구,111121,.002,.5,.024,.02,46,16
2020-05-12 08,서울 중구,중구,111121,.003,.5,.024,.021,43,23
2020-05-12 09,서울 중구,중구,111121,.003,.5,.024,.025,32,19
2020-05-12 10,서울 중구,중구,111121,.003,.5,.029,.019,26,14
2020-05-12 11,서울 중구,중구,111121,.003,.4,.03,.018,31,19
2020-05-12 12,서울 중구,중구,111121,.003,.4,.031,.016,34,18
2020-05-12 13,서울 중구,중구,111121,.003,.5,.033,.014,39,21
2020-05-12 14,서울 중구,중구,111121,.003,.4,.036,.015,44,25
2020-05-12 15,서울 중구,중구,111121,.003,.4,.039,.016,47,23
2020-05-12 16,서울 중구,중구,111121,.003,.4,.039,.014,42,22
2020-05-12 17,서울 중구,중구,111121,.002,.3,.037,.013,44,19
2020-05-12 18,서울 중구,중구,111121,.003,.3,.036,.013,39,14
2020-05-12 19,서울 중구,중구,111121,.003,.3,.032,.01,34,8
2020-05-12 20,서울 중구,중구,111121,.002,.3,.034,.009,33,12
2020-05-12 21,서울 중구,중구,111121,.002,.4,.034,.01,23,12
2020-05-12 22,서울 중구,중구,111121,.002,.4,.033,.011,20,12
2020-05-12 23,서울 중구,중구,111121,.002,.4,.028,.014,21,15
2020-05-12 24,서울 중구,중구,111121,.002,.5,.02,.024,22,14
2020-05-13 01,서울 중구,중구,111121,.002,.4,.017,.025,23,15
2020-05-13 02,서울 중구,중구,111121,.002,.4,.018,.021,22,14
2020-05-13 03,서울 중구,중구,111121,.002,.5,.015,.024,23,15
2020-05-13 04,서울 중구,중구,111121,.003,.4,.014,.025,23,15
2020-05-13 05,서울 중구,중구,111121,.002,.4,.011,.029,22,18
